Hora,Hora_mat,Veh_ida,Veh_vuelta
05:00,18000,T31_1,T31_207
05:05,18300,T31_2,T31_208
05:10,18600,T31_3,T31_209
05:15,18900,T31_4,T31_210
05:20,19200,T31_5,T31_211
05:25,19500,T31_6,T31_212
05:30,19800,T31_7,T31_213
05:35,20100,T31_8,T31_214
05:40,20400,T31_9,T31_215
05:45,20700,T31_10,T31_216
05:50,21000,T31_11,T31_217
05:55,21300,T31_12,T31_218
06:00,21600,T31_13,T31_219
06:04,21879,T31_14,T31_220
06:09,22158,T31_15,T31_221
06:13,22437,T31_16,T31_222
06:18,22716,T31_17,T31_223
06:23,22995,T31_18,T31_224
06:27,23274,T31_19,T31_225
06:32,23553,T31_20,T31_226
06:37,23832,T31_21,T31_227
06:41,24111,T31_22,T31_228
06:46,24390,T31_23,T31_229
06:51,24669,T31_24,T31_230
06:55,24948,T31_25,T31_231
07:00,25227,T31_26,T31_232
07:05,25506,T31_27,T31_233
07:09,25785,T31_28,T31_234
07:14,26064,T31_29,T31_235
07:19,26343,T31_30,T31_236
07:23,26622,T31_31,T31_237
07:28,26901,T31_32,T31_238
07:33,27180,T31_33,T31_239
07:37,27459,T31_34,T31_240
07:42,27738,T31_35,T31_241
07:46,28017,T31_36,T31_242
07:51,28296,T31_37,T31_243
07:56,28575,T31_38,T31_244
08:00,28854,T31_39,T31_245
08:06,29160,T31_40,T31_246
08:11,29466,T31_41,T31_247
08:16,29772,T31_42,T31_248
08:21,30078,T31_43,T31_249
08:26,30384,T31_44,T31_250
08:31,30690,T31_45,T31_251
08:36,30996,T31_46,T31_252
08:41,31302,T31_47,T31_253
08:46,31608,T31_48,T31_254
08:51,31914,T31_49,T31_255
08:57,32220,T31_50,T31_256
09:02,32526,T31_51,T31_257
09:07,32841,T31_52,T31_258
09:12,33156,T31_53,T31_259
09:17,33471,T31_54,T31_260
09:23,33786,T31_55,T31_261
09:28,34101,T31_56,T31_262
09:33,34416,T31_57,T31_263
09:38,34731,T31_58,T31_264
09:44,35046,T31_59,T31_265
09:49,35361,T31_60,T31_266
09:54,35676,T31_61,T31_267
09:59,35991,T31_62,T31_268
10:05,36351,T31_63,T31_269
10:11,36711,T31_64,T31_270
10:17,37071,T31_65,T31_271
10:23,37431,T31_66,T31_272
10:29,37791,T31_67,T31_273
10:35,38151,T31_68,T31_274
10:41,38511,T31_69,T31_275
10:47,38871,T31_70,T31_276
10:53,39231,T31_71,T31_277
10:59,39591,T31_72,T31_278
11:05,39951,T31_73,T31_279
11:11,40311,T31_74,T31_280
11:17,40671,T31_75,T31_281
11:23,41031,T31_76,T31_282
11:29,41391,T31_77,T31_283
11:35,41751,T31_78,T31_284
11:41,42111,T31_79,T31_285
11:47,42471,T31_80,T31_286
11:53,42831,T31_81,T31_287
11:59,43191,T31_82,T31_288
12:05,43551,T31_83,T31_289
12:11,43911,T31_84,T31_290
12:17,44271,T31_85,T31_291
12:23,44631,T31_86,T31_292
12:29,44991,T31_87,T31_293
12:35,45351,T31_88,T31_294
12:41,45711,T31_89,T31_295
12:47,46071,T31_90,T31_296
12:53,46431,T31_91,T31_297
12:59,46791,T31_92,T31_298
13:05,47151,T31_93,T31_299
13:11,47511,T31_94,T31_300
13:17,47871,T31_95,T31_301
13:23,48231,T31_96,T31_302
13:29,48591,T31_97,T31_303
13:35,48951,T31_98,T31_304
13:41,49311,T31_99,T31_305
13:47,49671,T31_100,T31_306
13:53,50031,T31_101,T31_307
13:59,50391,T31_102,T31_308
14:05,50721,T31_103,T31_309
14:10,51051,T31_104,T31_310
14:16,51381,T31_105,T31_311
14:21,51711,T31_106,T31_312
14:27,52041,T31_107,T31_313
14:32,52371,T31_108,T31_314
14:38,52701,T31_109,T31_315
14:43,53031,T31_110,T31_316
14:49,53361,T31_111,T31_317
14:54,53691,T31_112,T31_318
15:00,54021,T31_113,T31_319
15:05,54351,T31_114,T31_320
15:11,54681,T31_115,T31_321
15:16,55011,T31_116,T31_322
15:22,55341,T31_117,T31_323
15:27,55671,T31_118,T31_324
15:33,56001,T31_119,T31_325
15:38,56331,T31_120,T31_326
15:44,56661,T31_121,T31_327
15:49,56991,T31_122,T31_328
15:55,57321,T31_123,T31_329
16:00,57651,T31_124,T31_330
16:06,57975,T31_125,T31_331
16:11,58299,T31_126,T31_332
16:17,58623,T31_127,T31_333
16:22,58947,T31_128,T31_334
16:27,59271,T31_129,T31_335
16:33,59595,T31_130,T31_336
16:38,59919,T31_131,T31_337
16:44,60243,T31_132,T31_338
16:49,60567,T31_133,T31_339
16:54,60891,T31_134,T31_340
17:00,61215,T31_135,T31_341
17:05,61500,T31_136,T31_342
17:09,61785,T31_137,T31_343
17:14,62070,T31_138,T31_344
17:19,62355,T31_139,T31_345
17:24,62640,T31_140,T31_346
17:28,62925,T31_141,T31_347
17:33,63210,T31_142,T31_348
17:38,63495,T31_143,T31_349
17:43,63780,T31_144,T31_350
17:47,64065,T31_145,T31_351
17:52,64350,T31_146,T31_352
17:57,64635,T31_147,T31_353
18:02,64920,T31_148,T31_354
18:06,65205,T31_149,T31_355
18:11,65490,T31_150,T31_356
18:16,65775,T31_151,T31_357
18:21,66060,T31_152,T31_358
18:25,66345,T31_153,T31_359
18:30,66630,T31_154,T31_360
18:35,66915,T31_155,T31_361
18:40,67200,T31_156,T31_362
18:44,67485,T31_157,T31_363
18:49,67770,T31_158,T31_364
18:54,68055,T31_159,T31_365
18:59,68340,T31_160,T31_366
19:05,68700,T31_161,T31_367
19:11,69060,T31_162,T31_368
19:17,69420,T31_163,T31_369
19:23,69780,T31_164,T31_370
19:29,70140,T31_165,T31_371
19:35,70500,T31_166,T31_372
19:41,70860,T31_167,T31_373
19:47,71220,T31_168,T31_374
19:53,71580,T31_169,T31_375
19:59,71940,T31_170,T31_376
20:05,72300,T31_171,T31_377
20:11,72660,T31_172,T31_378
20:17,73020,T31_173,T31_379
20:23,73380,T31_174,T31_380
20:29,73740,T31_175,T31_381
20:35,74100,T31_176,T31_382
20:41,74460,T31_177,T31_383
20:47,74820,T31_178,T31_384
20:53,75180,T31_179,T31_385
20:59,75540,T31_180,T31_386
21:05,75900,T31_181,T31_387
21:11,76260,T31_182,T31_388
21:17,76620,T31_183,T31_389
21:23,76980,T31_184,T31_390
21:29,77340,T31_185,T31_391
21:35,77700,T31_186,T31_392
21:41,78060,T31_187,T31_393
21:47,78420,T31_188,T31_394
21:53,78780,T31_189,T31_395
21:59,79140,T31_190,T31_396
22:08,79680,T31_191,T31_397
22:17,80220,T31_192,T31_398
22:26,80760,T31_193,T31_399
22:35,81300,T31_194,T31_400
22:44,81840,T31_195,T31_401
22:53,82380,T31_196,T31_402
23:02,82920,T31_197,T31_403
