id,entering,leaving,passthrough,totalVolume
CHIMI3,129,0,0,129
FLORAI1,54,1,128,182
SALOM1,52,5,177,229
POPU1,47,7,222,269
MZAN1,99,2,267,366
FATI1,132,9,357,489
RIOC1,55,29,460,515
TORRE3,401,38,477,878
ERMI1,385,33,845,1230
CENTRO1,475,161,1069,1544
FRAY1,12,4,1540,1552
SANBO3,171,177,1375,1546
SNTLIB3,204,222,1324,1528
MANZA3,203,253,1275,1478
ESTAD3,100,121,1357,1457
TEQUE1,126,173,1284,1410
LIDO1,85,133,1277,1362
UDP3,81,102,1260,1341
PLATOR1,44,115,1226,1270
PAMPA1,79,143,1127,1206
REFUG1,71,265,941,1012
CALDAS1,63,198,814,877
CAPRI3,14,99,778,792
MELEN1,20,288,504,524
BUITRE1,30,100,424,454
UNIVAL1,26,72,382,408
UNIV1,0,408,0,0
